,text,major_principle,is_major_principle_here,ethical_us
173,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,,False,"**Title**: Ethical Linking of Events for System Modifications

**Description**: As a user, I want the system to link Events back to either the Sync Matrix 1.0 or the Exercise Management Tool 1.0 applications for modifications to ensure transparency and responsibility. By enabling clear and accountable connections between the events and the applications, users can make informed decisions and adhere to ethical standards, ensuring that the system modifications are traceable and verifiable."
174,The system shall allow modification of the display.,,False,"**Title**: Ensure Personalization while Maintaining User Trust

**Description**: As a user, I want to modify the display settings of the system so that I can personalize it to my preferences, while ensuring that my data is protected and the system remains transparent and trustworthy."
175,The system shall filter data by: Venues and Key Events.,,False,"**Title**: Ethical Filtering of Data by Venues and Key Events

**Description**: Design the system to ensure that data filtering by venues and key events is transparent and easy to understand, guaranteeing user privacy and maintaining data integrity. The filtering process should not lead to biased or unfair outcomes and must respect the dignity and autonomy of all users. Ensure the system is accountable and responsible for accurate data representation, promoting trustworthiness and sustainable practices.

"
176,The system shall allow a user to define the time segments,,False,"**Title**: User-Controlled Scheduling for Enhanced Autonomy

**Description**: As an ethically-designed system, it shall allow users to define the time segments of their interaction to ensure their freedom and autonomy are respected. By giving users control over their scheduling, the system supports users' individual preferences and promotes a sense of empowerment and trust in the technology."
177,The system shall display the local and exercise time in separate clocks,,False,"**Title**: Clear and Accessible Time Display for Users' Well-being

**Description**: As a user, I want the system to display local time and exercise time on separate clocks to ensure clarity and prevent confusion, thereby promoting user well-being and fairness in time management. This respects users' autonomy by allowing them to clearly differentiate between local time and the time allocated for exercise activities."
178,The system shall offer the ability to pause and resume the refresh of data.,,False,"**Title**: Pause and Resume Data Refresh for User Control

**Description**: As a user, I want to have the ability to pause and resume the refresh of data, so that I can maintain my autonomy and control over the information flow, ensuring my interaction with the system is respectful of my preferences and circumstances."
179,The system shall provide charts for the Activity or Event actual versus assumed time.,,False,"**Title**: Ensure Transparency in Activity Duration Charts

**Description**: As a user, I want the system to provide clear and understandable charts comparing the actual versus assumed times for activities or events, so that I can easily understand any discrepancies, fostering transparency in time tracking."
180,The system shall provide a history report of changes made to the Activity or Event data,,False,"**Title**: Traceability and Transparency in Activity or Event Data

**Description**: As a user, I want the system to provide a history report of changes made to the Activity or Event data, so that I can understand and verify the modifications that have been made, ensuring transparency and accountability in data management."
181,The look and feel of the system shall conform to the user interface standards of the smart device.,,False,"**Title**: Ensure User Interface Accessibility and Consistency

**Description**: As a user, I want the look and feel of the system to conform to the user interface standards of the smart device so that I can have a consistent and accessible experience, ensuring usability and maintaining my dignity through respectful design.
"
182,The user interface shall have standard menus buttons for navigation,,False,"**Title**: Ensuring Intuitive and Accessible Navigation

**Description**: As a user, I want the user interface to have standard menus and buttons for navigation, so I can easily understand and use the system without confusion. This ensures fairness and dignity by making the system accessible to all users, including those with limited technical skills, and upholds trust by providing a predictable and reliable user experience."
183,The system shall have a professional appearance,,False,"**Title**: Ensure Professional and Trustworthy Appearance

**Description**: As a user, I want the system to have a professional appearance so that I can trust the information and services it provides, ensuring that the interface conveys reliability, competence, and integrity, thereby fostering user trust and confidence."
184,The product shall have a consistent color scheme and fonts.,,False,"**Title**: Promote Visual Accessibility and Inclusivity 

**Description**: As a designer, I want the product to have a consistent color scheme and fonts, so that users with visual impairments or cognitive disabilities can navigate and understand the interface easily and without confusion, promoting dignity, fairness, and trust."
185,The system shall be used by realtors with no training.,,False,"**Title**: Ensuring Accessibility for Untrained Realtors

**Description**: As a real estate company, we want our system to be intuitive and require no specialized training for realtors, ensuring that it is accessible and understandable to all users regardless of their technical background, thereby promoting autonomy and fairness."
186,The product shall be easy for a realtor to learn.,,False,"**Title**: Make AI Product Learnable for Realtors  
**Description**: Ensure that the AI product is designed with intuitive interfaces and comprehensive training resources that allow realtors to easily understand and use the system. This promotes autonomy by empowering realtors to effectively interact with the technology, and supports trust by demonstrating a commitment to creating user-friendly and accessible tools."
187,The product shall produce search results in an acceptable time,,False,"**Title**: Ensure Timely Search Results Delivery

**Description**: As a user, I want the search results to be generated within an acceptable time frame so that my trust in the system is maintained and my autonomy in receiving quick and reliable information is respected."
188,The search results shall be returned no later 30 seconds  after the user has entered the search criteria,,False,"**Title**: Ensure Timely and Understandable Search Results 

**Description**: As a user, I want search results to be returned within 30 seconds of entering the search criteria, ensuring transparency in the system's responsiveness and trust in its efficacy. 

**Ethical Principles Involved**: Transparency, Trust"
189,The product shall generate a CMA report in an acceptable time.,,False,"**Title**: Timely and Reliable CMA Report Generation

**Description**: As a user, I want the product to generate a CMA (Comparative Market Analysis) report in an acceptable time frame without compromising the accuracy, fairness, and transparency of the data, ensuring that the process is efficient and helps me make informed and just decisions. This supports the principles of trust, justice and fairness, and transparency."
190,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,,False,"**Title**: Timely Return of CMA Report

**Description**: Ensure that the CMA report is returned within 60 seconds of the user entering the criteria to uphold the principles of trust and responsibility. This timely response fosters user confidence and demonstrates the system's reliability in processing and delivering accurate information promptly."
191,The product shall synchronize contacts and appointments in an acceptable time.,,False,"**Title**: Ethical Synchronization of Contacts and Appointments 

**Description**: As a user, I want the product to synchronize contacts and appointments within an acceptable time frame so that it respects my autonomy and does not disrupt my schedule. The synchronization process should ensure data privacy by securing personal data and maintaining transparency about how the data is handled. Additionally, it must be designed with beneficence in mind, making sure it enhances my productivity and well-being without causing any harm or delays. The system should also be fair, providing equal performance and efficiency to all users, and be reliable, building trust by consistently delivering accurate and timely updates."
192,The product shall synchronize with the office system every hour.,,False,"**Title**: Transparent and Responsible Data Synchronization 

**Description**: As a user, I want the product to synchronize with the office system every hour in a transparent way, ensuring that I am informed about what data is being synced, and that the process is performed with responsibility and integrity, ensuring no harm to my data privacy and maintaining system security."
193,The product shall be available for use 24 hours per day 365 days  per year,,False,"**Title**: Ensure Continuous Accessibility of the Product

**Description**: As a user, I want the product to be accessible 24 hours a day, 365 days a year, so that I can rely on it for consistent and uninterrupted service, thereby fostering trust and benefiting from its continuous availability."
194,Out of 1000 accesses to the system the system is available 999 times.,,False,"**Title**: Ensure High Availability and Reliability of the System

**Description**: As an AI development team, we ensure that out of 1000 accesses to the system, it is available 999 times to maintain users' trust and uphold the principle of responsibility. This high availability is critical to minimize disruption and potential harm caused by system downtime, ensuring users can depend on the system for their needs."
195,The product shall operate in offline mode whenever internet connection is unavailable.,,False,"**Title**: Offline Accessibility to Ensure Consistent Functionality 

**Description**: As an ethical requirement, the product shall operate in offline mode whenever an internet connection is unavailable to ensure users can rely on and trust the system's functionality, thus promoting autonomy and beneficence by not impeding their tasks due to connectivity issues."
196,The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,,False,"**Title**: Ethical Access to Downloaded Content

**Description**: As a user, I want to be able to view previously downloaded search results, CMA reports, and appointments in a manner that ensures my privacy and respects my rights to data ownership, so that I can trust the system to manage my data responsibly and without compromising my personal information."
197,The product shall retain user preferences in the event of a failure.,,False,"**Title**: Ensure User Preferences are Preserved During System Failures

**Description**: As a responsible AI development team, we will design and implement mechanisms to ensure that user preferences are retained even in the event of a system failure. This safeguards users’ privacy, autonomy, and dignity by preventing data loss and avoids negative impacts on user trust and experience."
198,100% of saved user preferences shall be restored when system comes back online.,,False,"**Title**: Ensure Complete Restoration of User Preferences

**Description**: As a user, I want the system to fully restore my saved preferences when it comes back online, ensuring my freedom and autonomy to tailor my interactions with the platform while maintaining trust in the system’s reliability and integrity."
199,The product shall be able to support multiple remote users,,False,"**Title**: Support for Multiple Remote Users with Privacy and Fairness

**Description**: As a user, I want the product to facilitate the simultaneous use by multiple remote individuals, ensuring their privacy is protected and access is equitable, so that everyone can use the system securely without experiencing discrimination or data breaches."
200,The product shall be able support 1000 simultaneous users.,,False,"**Title**: Ensure System Scalability with Ethical Considerations

**Description**: As a developer, I want the product to support 1000 simultaneous users to ensure widespread accessibility and reliability, while maintaining high standards of transparency, privacy, and security for all users. This will honor users' trust, uphold their dignity, and ensure that the system operates fairly and responsibly without compromising individual freedoms or causing harm."
201,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,,False,"**Title**: Ensure Scalable and Trustworthy User Capacity Handling

**Description**: The product shall be designed and implemented in a scalable manner that handles the current 1000 users efficiently and ensures seamless support for an anticipated growth to 5000 users within the next year. This growth must be managed in a way that maintains user trust and system reliability, ensuring fairness in access and preserving the privacy and dignity of all users, while promoting sustainability and ensuring no harm is done during the scaling process."
202,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,,False,"**Title**: Enhance Usability and Accessibility for Realtors

**Description**: As a product development team, we want to design our product such that it can be easily and intuitively installed by an untrained realtor, without the need for separately-printed instructions. This aligns with the ethical principle of transparency and freedom and autonomy, ensuring that the product is understandable and accessible, thereby empowering users to install it with confidence and without external dependencies."
203,90% of untrained realtors shall be able to install the product on their device without printed instructions,,False,"**Title**: Ensuring User-Friendly Installation for All

**Description**: As a developer, I want 90% of untrained realtors to be able to install the product on their device without printed instructions to promote accessibility, autonomy, and trust while ensuring the product's ease of use and reducing the environmental impact associated with printed materials."
204,The product is expected to run on Windows CE and Palm operating systems.,,False,"**Title**: Ensuring Inclusivity of Legacy Operating Systems

**Description**: As a developer, I want the product to be compatible with Windows CE and Palm operating systems to ensure users who rely on older technologies are not excluded from accessing the product’s benefits, thereby promoting justice, fairness, and digital dignity."
205,The system shall allow a real estate agent to query MLS information,,False,"**Title**: Transparent and Equitable Access to MLS Information for Real Estate Agents
**Description**: As a stakeholder, I want the system to transparently provide real estate agents with the ability to query MLS information in a way that is fair and non-discriminatory, ensuring that the data presented is accurate, timely, and easily understandable. The system should also protect the privacy of personal information contained within the MLS database, and ensure that the functionality aligns with the principles of responsibility and trustworthiness."
206,The user shall be able to get driving directions to a selected property,,False,"**Title**: Provide Transparent and Fair Driving Directions

**Description**: As a user, I should be able to get driving directions to a selected property in a manner that ensures transparency regarding the data used and fairness in the routing algorithms to avoid discrimination or biased directions. This feature should foster trust by providing clear and understandable instructions and explanations of how the routes are determined."
207,The user shall be able to download appointments and contact information for clients,,False,"**Title**: Ensure Secure and Transparent Download of Client Information

**Description**: As a developer, I want to implement a feature that allows users to download appointments and contact information for clients while ensuring transparency and securing client data. This functionality must inform users clearly about how and why the data is being accessed and ensure that the downloaded data is protected to maintain privacy and trust."
208,The system shall display clear property images in the search results,,False,"**Title**: Display Clear and Accurate Property Images

**Description**: As a user, I want the system to display clear and accurate property images in the search results so that I can make informed decisions without being misled, thereby ensuring transparency and trustworthiness in property listings."
209,The system shall update or create new property listings in the MLS,,False,"**Title**: Ethical Management of Property Listings

**Description**: As a system, I shall update or create new property listings in the MLS (Multiple Listing Service) while ensuring transparency in the listing details, respecting user privacy by safeguarding personal data, and ensuring that all property listings are accurate and non-discriminatory, thereby promoting justice and fairness. This process will also adhere to principles of responsibility, beneficence, dignity, sustainability, and trust to foster a positive and ethical user experience."
210,Realtor shall be able to generate a CMA report based on property criteria,,False,"**Title**: Ethical Generation of Comparative Market Analysis (CMA) Report by Realtor

**Description**: As a Realtor, I want the ability to generate a CMA report based on property criteria in a way that ensures transparency in the data sources and methodologies used, protects the privacy of individuals' data, and provides fair and unbiased property evaluations to build trust with clients and promote sustainable real estate practices."
211,The system shall be able to call the seller or buyer to schedule an appointment,,False,"**Title**: Ethical Communication for Appointment Scheduling

**Description**: As a system, I shall be able to call the seller or buyer to schedule an appointment in a manner that ensures transparency about the purpose of the call, respects the privacy of personal information, and provides options for the individuals to maintain their freedom and autonomy by accepting, declining, or rescheduling the appointment."
212,The realtor shall be notified of new client appointments after automatic synchronization with office system,,False,"**Title**: Ensure Transparent Notification of New Client Appointments

**Description**: As a realtor, I want to be transparently notified of new client appointments after automatic synchronization with the office system, so that I can trust the system's updates, efficiently manage my schedule, and ensure no appointments are missed or duplicated, contributing to overall client satisfaction and trust."
213,The realtor shall be able to retrieve a map showing property locations for a specified area,,False,"**Title**: Ethical Map-Based Property Retrieval 

**Description**: As a realtor, I want to retrieve a map showing property locations for a specified area in a way that ensures transparency, maintains privacy of property owners' data, and promotes fairness by providing accurate and unbiased property information, so that I can trust the information and provide the best service to my clients."
214,The system shall notify the realtor when a seller or buyer responds to an appointment request,,False,"**Title**: Transparent and Trustworthy Appointment Notifications for Realtors
**Description**: As a realtor, I want to receive timely and clear notifications when a seller or buyer responds to an appointment request, so that I can manage appointments effectively, ensure transparency in communication, and build trust with all parties involved."
215,The product shall allow the user to save the property search results.,,False,"**Title**: Preserve User's Autonomy and Privacy While Saving Property Search Results

**Description**: As a user, I want to save my property search results in a manner that respects my privacy and autonomy, ensuring that my data is stored securely and accessible only to me. The system should provide clear information about how my data will be used and give me control over saving and deleting my search results."
216,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,,False,"**Title**: Ensure User-Friendly Interface for Nursing Staff and Program Administrators

**Description**: As a developer, I want to ensure that the system is easy to use for Nursing Staff and Program Administrators so that they can perform their tasks efficiently and without unnecessary difficulty, thereby upholding their autonomy and dignity while maintaining a high level of trust in the system’s reliability."
217,All of the users shall be able to use the system after one day of training.,,False,"**Title**: Ensure Accessibility for All Users After One Day of Training

**Description**: As a system designer, I want to ensure that all users, regardless of their abilities or backgrounds, can fully understand and effectively use the system after just one day of training. This will promote fairness and accessibility, enhancing user autonomy and trust in the system."
218,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,,False,"**Title**: Ensure Error-Free Scheduling for Nursing Students

**Description**: As a system, I will provide guidance and checks to help users avoid mistakes while scheduling classes and clinicals for nursing students. This will promote non-maleficence by preventing scheduling conflicts that could harm students' educational progress and personal well-being, ensure justice and fairness by treating all students equally, and build trust by maintaining a reliable and effective scheduling system."
219,The number of mistakes noted by the students shall be decreased by 50% in the first year.,,False,"**Title**: Ensure Accuracy and Minimize Errors in Educational Tools

**Description**: As an educational software developer, I want to design and implement features that reduce the number of mistakes noted by students by 50% within the first year, ensuring the content is accurate and reliable, to uphold the principles of non-maleficence and trust by promoting a high-quality learning experience that avoids misinformation and builds student confidence in the tool."
220,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,,False,"**Title**: Ensure Usability for Program Administrators and Nursing Staff

**Description**: As a system designer, I want to ensure that 2 out of 3 Program Administrators and Nursing Staff Members can easily and successfully use the system to manage class and clinical schedules, thereby promoting responsibility, trust, and dignity in their professional roles, and ensuring justice and fairness in access to and usability of the tools provided."
221,The system shall use symbols and words that are naturally understandable by the user community.,,False,"**Title**: Ensure Understandable Communication

**Description**: As a user, I want the system to use symbols and words that are naturally understandable by the user community to ensure that information is easily comprehensible, enhancing transparency and fostering trust."
222,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,,False,"**Title**: Ensure Clear and Consistent Communication Within the Nursing Community

**Description**: As a system developer, I want to ensure that the verbiage used within the system is consistent with Standard English and adheres to the terminology used by the national Nursing Community, so that communication is clear, professional, and easily understood by all healthcare professionals, maintaining trust and dignity."
223,Staff members shall be able to complete a set of tasks in a timely manner.,,False,"**Title**: Ensure Responsible Task Management for Staff

**Description**: As a developer or stakeholder, ensure that staff members can complete a set of tasks in a timely manner. This includes implementing transparent processes and providing clear communication and explanations about task management systems. Guarantee that the system is designed with non-maleficence, ensuring it does not harm staff members by overburdening them. Uphold responsibility for maintaining system accountability and integrity, while also respecting the privacy and dignity of staff. Strive for sustainability in workload distribution, ensuring it contributes to overall workplace wellbeing. Lastly, ensure that the system functions in a way that promotes justice and fairness, does not discriminate, fosters trust among staff members, and supports their freedom and autonomy in task completion."
224,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,,False,"**Title**: Efficient and Transparent System Responses for Student Management

**Description**: As a user of the student management system, I want the system to ensure that general management tasks respond within 5 seconds and schedule generation within 30 seconds, promoting both transparency and trust by providing reliable and timely feedback. No user should experience extended delays, ensuring fairness and maintaining the dignity of all users by respecting their time and needs."
225,The system shall be available for use between the hours of 8am and 6pm.,,False,"**Title**: Availability for Inclusive Access

**Description**: Ensure the system is accessible during reasonable and inclusive hours (8am to 6pm) to respect users' autonomy, dignity, and promote fairness by accommodating a diverse range of working schedules and personal commitments."
226,The system shall achieve 95% up time.,,False,"**Title**: Ensure System Reliability

**Description**: To build and maintain trust, the system shall ensure a minimum of 95% uptime, demonstrating reliability and commitment to providing a consistent and dependable service to the users."
227,system shall be able to handle all of the user requests/usage during business hours.,,False,"**Title**: Ensure System Reliability and Availability During Business Hours 
**Description**: As a responsible organization, we want the system to handle all user requests and usage efficiently during business hours to maintain trust, ensure fairness, and prevent disruptions that could adversely impact user's autonomy and productivity. We aim to design the system to be robust and reliable, minimizing the risk of downtime and ensuring that it can scale according to demand without compromising performance or user experience."
228,The system shall cater to 10 simultaneous users from 9am to 5pm.,,False,"**Title**: Ensure System Equitability for User Access

**Description**: As a developer, I want the system to ensure fair and just access for 10 simultaneous users from 9 am to 5 pm, so that all users have equal opportunity to benefit from the system without experiencing discrimination or unfair treatment due to limited availability of resources."
229,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,,False,"**Title**: Ensure Fair and Transparent Processing of Nursing Students Data

**Description**: As a responsible AI development team, we need to develop a system that processes 100% of nursing students and their classes for the next 10 years while ensuring transparency in its operations. We will ensure that the data processing practices are fair, non-discriminatory, and respect the privacy and dignity of the students. This system will also maintain high standards of accountability, consistently benefiting the students and the educational institution, and fostering trust through reliable performance and ethical data handling practices."
230,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,,False,"**Title**: Ethical Management of Nursing Program Curriculum and Scheduling

**Description**: Ensure the system responsibly manages the nursing program curriculum and class/clinical scheduling for a minimum of 5 years, prioritizing accuracy, transparency, and fairness. This includes providing explainable and understandable scheduling processes to avoid mismanagement, ensuring schedules do no harm to the workload and wellbeing of nurses, maintaining the privacy of personal data, and fostering trust among stakeholders by demonstrating accountability and integrity in managing the system."
231,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,,False,"**Title**: Ensure Ethical Operation within Business Office Environment

**Description**: As a responsible developer, I want the system to operate ethically within a business office environment typical of the Nursing Department at DePaul University, ensuring that it adheres to principles of non-maleficence by avoiding harm, maintains privacy of sensitive personal data, fosters a trustworthy environment, upholds justice and fairness in its operations, and respects the dignity and autonomy of its users."
232,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,,False,"**Title**: Ensure System Use Aligns with Specified Hardware Capabilities

**Description**: As a program administrator or nursing staff member, I want to ensure that the system is used within the specifications defined by the computers, to maintain system reliability, avoid harm due to technical issues, and ensure the system performs effectively to benefit both staff and patients. This adherence promotes transparency, responsibility, justice and fairness, and builds trust in the system's operations."
233,The system shall operate within the Windows XP Professional operating system.,,False,"**Title**: System Compatibility with Legacy Operating Systems

**Description**: As a product owner, I want the system to be compatible with Windows XP Professional, ensuring that users who operate on older systems can access essential services without coercing them to upgrade, aligned with the principles of justice and fairness, as well as beneficence. This approach ensures inclusivity and benefits a broader scope of users while upholding their autonomy."
234,The system shall interface with CampusConnect\92s central server,,False,"**Title**: Ethical Data Interface with CampusConnect's Central Server

**Description**: Ensure that the system's interface with CampusConnect's central server adheres to principles of privacy, security, and transparency. The connection must securely transmit data, protect personal information, and clearly communicate data usage policies to stakeholders to foster trust and uphold user dignity. Additionally, regularly audit and document these interactions to maintain accountability and integrity."
235,The system shall interface with the faculty central server.,,False,"**Title**: Transparent and Secure Server Interface

**Description**: As a system designer, I want the system to interface with the faculty central server in a transparent and secure manner to ensure that data transactions are clear, understandable, and protected, thereby building trust and maintaining privacy."
236,The system shall interface with the student master server.,,False,"**Title**: Ensure Secure Interface with Student Master Server

**Description**: As a system developer, I want to ensure that interfacing with the student master server is conducted in a secure, transparent, and privacy-respecting manner, to maintain data integrity, protect student privacy, and build trust among users."
237,We must be able to interface with any HTML browser.,,False,"**Title**: Ensure Universal Browser Accessibility

**Description**: As a user, I want the application to interface with any HTML browser to ensure transparency and accessibility for all, respecting freedom and autonomy by allowing users to choose their preferred browser without restrictions."
238,Only authorized users shall have access to clinical site information.,,False,"**Title**: Ensure Restricted Access to Clinical Site Information

**Description**: As an ethical requirement, access to sensitive clinical site information shall be restricted to only authorized users in order to ensure privacy, maintain trust, and uphold the dignity of individuals whose data is being protected. This measure prevents unauthorized access which could lead to potential harm, breaches of confidentiality, and misuse of personal data."
239,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,,False,"**Title**: Restrict Access to Clinical Site Details to Authorized Personnel

**Description**: As part of ensuring privacy and maintaining trust, only program administrators and nursing staff members shall have access to clinical site details. This restriction safeguards patient information and upholds the non-maleficence principle by preventing unauthorized access that could cause harm."
240,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.,,False,"**Title**: Secure Access to Students' Personal Information

**Description**: As a trusted educational institution, we ensure that only authorized personnel, specifically Dr. Susan Poslusny and Dr. Julie Donalek, have access to students' personal information to protect privacy and maintain trust."
241,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,,False,"**Title**: Secure Access Control for CampusConnect Interface

**Description**: Ensure that only authorized users have access to the portion of the system that interfaces with CampusConnect. This will protect user privacy by preventing unauthorized access to potentially sensitive campus-related data, uphold the responsibility of developers in safeguarding data integrity, and build trust by ensuring that access protocols are robust and reliable."
242,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,,False,"**Title**: Ensure Exclusive Access to Final Class Section Scheduling

**Description**: Implement access controls in the system interfacing with CampusConnect to ensure that only Dr. Susan Poslusny and Karen Sysol have the permissions to access the final class section scheduling, thereby upholding privacy and preventing unauthorized access."
243,The system shall use the organization\92s standard virus protection software to help monitor threats to itself.,,False,"**Title**: Ensure Virus Protection Compliance

**Description**: As an organization, we commit to incorporating and regularly updating our standard virus protection software within our systems to safeguard against potential threats, thereby ensuring a secure and trustworthy environment for our users. This initiative aligns with our responsibility to protect user data and maintain system integrity."
244,A cohort shall be associated to one Program of Study offered by the department.,,False,"**Title**: Associate Cohort to Program of Study

**Description**: As an educational institution, we need to ensure that a cohort is correctly associated with a specific Program of Study offered by the department to maintain clarity and accuracy in academic administration. This promotes transparency and fairness by ensuring that students have a clear understanding of their course structure and academic requirements. It also upholds the principles of responsibility and trust by ensuring accurate and reliable data management, thereby protecting students’ educational expectations and privacy."
245,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,,False,"**Title**: Ensure Fair and Transparent Student Cohort Assignment by Program Administrators and Nursing Staff Members

**Description**: As a program administrator or nursing staff member, I want to be able to add a listing of students to a cohort in an unbiased, transparent manner to ensure fairness and uphold the trust and dignity of all students. The process must include clear documentation and communication to all stakeholders, guaranteeing non-maleficence and justice. Additionally, mechanisms will be in place to ensure privacy and the responsible handling of personal data."
246,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,,False,"**Title**: Ensure Fair and Transparent Process for Adding a Student to a Cohort

**Description**: As a program administrator or nursing staff member, I want the process of adding a single student to a cohort to be transparent, fair, and non-discriminatory, ensuring that all actions are accountable and respectful of the student's dignity, in order to maintain trust and uphold ethical standards."
247,Students added to a cohort shall be eligible for the cohort\92s Program of Study.,,False,"**Title**: Ensure Fair Eligibility for Cohort Programs

**Description**: As a system designer, I want to ensure that all students added to a cohort are eligible for the cohort's Program of Study in a fair and transparent manner, respecting their dignity and privacy, and upholding justice and fairness. This will help prevent discrimination and ensure that all students have equal access to educational opportunities."
248,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,,False,"**Title**: Ensuring Ethical Course Sequencing for Nursing Cohorts

**Description**: As a Program Administrator or Nursing Staff Member, I need to specify the preferred sequence of classes for a given cohort in a way that ensures transparency and fairness, avoids causing any harm, respects privacy and autonomy, and promotes trust, sustainability, and beneficence within the educational environment. This sequence will be communicated clearly and justly to all students involved, safeguarding their dignity and ensuring equal opportunities for all."
249,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,,False,"**Title**: Transparent and Responsible Class Scheduling

**Description**: As a Program Administrator or Nursing Staff Member, I want to transparently specify the quarter in which each class will be offered for a cohort, ensuring that the scheduling process is clear, accountable, and just. This ethical user story ensures that all stakeholders are informed and can trust the schedule, promoting fairness and responsibility in educational program administration."
250,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,,False,"**Title**: Facilitate Class Addition with Ethical Considerations

**Description**: As a Program Administrator or Nursing Staff Member, I want to add new classes to a sequence of classes transparently and responsibly. This functionality should respect students' privacy by safeguarding their data, ensure non-maleficence by not overburdening students, promote beneficence by enhancing educational opportunities, and maintain fairness by providing equal opportunities for all students. Additionally, the system should ensure sustainability in terms of resource use and trustworthiness in data handling."
251,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,,False,"**Title**: Ethical Addition of Clinical Classes or Sections by Program Administrators and Nursing Staff

**Description**: As a program administrator or nursing staff member, I want to add clinical classes or sections to a sequence of classes in a way that ensures transparency in the process, maintains privacy of student and patient data, upholds the principles of non-maleficence and beneficence by ensuring the changes benefit all stakeholders and cause no harm, respects the autonomy of the nursing students, guarantees the fair and just allocation of resources, and builds trust in the system's reliability and integrity."
252,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,,False,"**Title**: Ensure Ethical Addition of New Cohorts by Program Administrators and Nursing Staff

**Description**: As a Program Administrator or Nursing Staff Member, I want to add a new cohort to the system, identified by start month and year, ensuring that this process is transparent, respects user privacy, promotes beneficence by improving workflow efficiency, and maintains trust through secure data handling."
253,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,,False,"**Title**: Ethical Addition of New Nursing Classes

**Description**: As a program administrator or nursing staff member, I want to ensure that when adding new classes for the nursing department into the system, the process respects all ethical principles. This includes maintaining data privacy, ensuring transparency and fairness in the class creation process, promoting beneficence by providing high-quality educational opportunities, and upholding the dignity and autonomy of all participants. The system must be designed to avoid any potential harm, distributed justly, and built sustainably to ensure long-term trustworthiness."
254,A class shall be either a non-clinical class or a clinical class.,,False,"**Title**: Ensure Clear Classification of Classes

**Description**: As a user, I need the system to clearly distinguish between non-clinical and clinical classes to ensure transparency and trust, thereby preventing any misinterpretation or misuse that could lead to harm. This clear classification will support the responsible and ethical management of class content, ensuring that users receive appropriate and beneficial information without compromising their autonomy or privacy."
255,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,,False,"**Title**: Ensure Transparent and Responsible Allocation of Course Resources

**Description**: As a university administrator, I want to transparently specify the course name, lecture room requirements, and instructor needs for a non-clinical class to ensure clear communication, resource allocation, and institutional accountability, thereby upholding principles of transparency and responsibility."
256,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,,False,"**Title**: Ethical Specification of Clinical Class Requirements

**Description**: As an educational institution responsible for designing clinical classes, we aim to transparently specify the course name, lecture room requirements, clinical site needs, lecture instructor needs, and clinical lab instructor needs. In doing so, we ensure that all stakeholders—students, instructors, and clinical sites—are fully informed and can participate in the decision-making process, respecting their autonomy and dignity. This transparency also supports trust and responsibility by making clear the needs and commitments of each party involved."
257,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,,False,"**Title**: Ethical Creation of New Programs of Study

**Description**: As a Program Administrator or Nursing Staff Member, I want to create a new Program of Study in a manner that ensures transparency in the design and objectives of the program, respects the privacy of involved stakeholders, and fosters trust by ensuring the program is beneficial, fair, and upholds the dignity and autonomy of all participants. This will allow the institution to responsibly develop programs that are sustainable and without causing harm to individuals or communities."
