,text,major_principle,second_major_principle,third_major_principle,ethical_us
212,The realtor shall be notified of new client appointments after automatic synchronization with office system,transparency,dignity,sustainability,"**Title**: Ethical Notification of New Client Appointments

**Description**: As a realtor, I want to be notified of new client appointments after an automatic synchronization with the office system, ensuring that the notification process is transparent and respects the dignity of all parties involved.

**Ethical principles used**: Transparency, Dignity"
213,The realtor shall be able to retrieve a map showing property locations for a specified area,transparency,dignity,sustainability,"**Title**: Display Property Locations on a Map with Transparent and Dignified User Experience

**Description**: As a realtor, I want to retrieve a map showing property locations for a specified area, ensuring the user interface and data presentation are clear and comprehensible. The map should be designed to respect the dignity of all users by avoiding any invasive data collection and ensuring the privacy and integrity of personal information.

**Ethical principles used**: Transparency, Dignity"
214,The system shall notify the realtor when a seller or buyer responds to an appointment request,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Notification for Realtors

**Description**: As a realtor, I want the system to notify me transparently when a seller or buyer responds to an appointment request, ensuring that both parties' actions and intentions are respected and communicated clearly.

**Ethical principles used**: Transparency, Dignity"
215,The product shall allow the user to save the property search results.,transparency,dignity,sustainability,"**Title**: Ethical Saving of Property Search Results

**Description**: As a user, I want to save my property search results in a transparent manner that respects my dignity, so I can trust how my data is being handled and feel confident that my rights are preserved.

**Ethical principles used**: Transparency, Dignity"
216,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,transparency,dignity,sustainability,"**Title**: User-Friendly Interface for Program Administrators and Nursing Staff

**Description**: As a Program Administrator or Nursing Staff Member, I need the system to be easy to use so that I can efficiently manage and operate the system without unnecessary stress or difficulty. This includes having clear instructions, intuitive navigation, and responsive support to ensure that I can focus on patient care and administrative duties without technical obstacles.

**Ethical principles used**: Transparency, Dignity"
217,All of the users shall be able to use the system after one day of training.,transparency,dignity,sustainability,"**Title**: Ensure Accessible and Understandable System Usage

**Description**: As a user, I want the system to be designed in a way that ensures I can understand and use it effectively after one day of training, so I can maintain my dignity and trust in the system's transparency.

**Ethical principles used**: Transparency, Dignity"
218,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,transparency,dignity,sustainability,"**Title**: Error Prevention in Class and Clinical Scheduling 

**Description**: As a system, I want to provide clear, understandable, and transparent guidance to users while scheduling classes and clinicals for nursing students, ensuring that their choices are well-informed and that they avoid potential mistakes. This will respect the dignity of both students and schedulers by preventing any confusion or scheduling conflicts that could adversely affect the students' educational experiences.

**Ethical principles used**: Transparency, Dignity"
219,The number of mistakes noted by the students shall be decreased by 50% in the first year.,transparency,dignity,sustainability,"**Title**: Reduce Student Mistake Rate Transparently and Respectfully

**Description**: As an educational technology provider, we aim to reduce the number of mistakes noted by students by 50% in the first year by implementing transparent error-reporting and feedback mechanisms that respect student dignity. This will involve clearly explaining how errors are identified and allowing students to understand and correct their mistakes in a respectful and supportive manner.

**Ethical principles used**: Transparency, Dignity"
220,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,transparency,dignity,sustainability,"**Title**: Accessible and Understandable Scheduling System for Program Administrators and Nursing Staff

**Description**: As a program administrator or nursing staff member, I want an easily understandable and user-friendly scheduling system so that I can efficiently manage the scheduling of classes and clinicals, ensuring transparency in operations and maintaining the dignity of all users involved.

**Ethical principles used**: Transparency, Dignity"
221,The system shall use symbols and words that are naturally understandable by the user community.,transparency,dignity,sustainability,"**Title**: User-Friendly and Understandable Communication

**Description**: As a user, I want the system to use symbols and words that are naturally understandable by my community, so that I can easily comprehend and interact with it without confusion or frustration.

**Ethical principles used**: Transparency, Dignity"
222,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,transparency,dignity,sustainability,"**Title**: Ensure Consistent and Respectful Verbiage in the System

**Description**: The system shall use consistent Standard English and adopt the nationally recognized terminology of the Nursing Community. This will ensure that the language is clear, understandable, and respectful, thereby upholding the dignity of users and promoting transparency.

**Ethical principles used**: Transparency, Dignity"
223,Staff members shall be able to complete a set of tasks in a timely manner.,transparency,dignity,sustainability,"**Title**: Ensure Timely Task Completion with Transparency and Dignity

**Description**: As a staff member, I want to complete my assigned tasks efficiently with a clear understanding of the processes and expectations, ensuring that my personal worth and professional dignity are respected throughout the workflow.

**Ethical principles used**: Transparency, Dignity"
224,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,transparency,dignity,sustainability,"**Title**: Ensure Timely and Respectful Response for Student Management and Scheduling

**Description**: As a student, I want the response time of general student management tasks to take no longer than 5 seconds and the response time of schedule generation to take no longer than 30 seconds, so that I can efficiently manage my academic activities and feel respected in my time and efforts.

**Ethical principles used**: Transparency, Dignity"
225,The system shall be available for use between the hours of 8am and 6pm.,transparency,dignity,sustainability,"**Title**: Ensure Dignified and Transparent Access to System

**Description**: As an ethically conscious developer, I want the system to be available for use between the hours of 8am and 6pm, clearly communicating this availability to all users. This ensures that users know when they can access the system, thus respecting their dignity and providing transparency about system operation hours.

**Ethical principles used**: Transparency, Dignity"
226,The system shall achieve 95% up time.,transparency,dignity,sustainability,"**Title**: Ensure System Transparency and Dignity with 95% Uptime

**Description**: As a user, I want the system to maintain a 95% uptime, thereby ensuring continuous and transparent access to its services, while respecting my dignity by providing consistent and reliable performance.

**Ethical principles used**: Transparency, Dignity"
227,system shall be able to handle all of the user requests/usage during business hours.,transparency,dignity,sustainability,"**Title**: System Capacity for User Requests During Business Hours

**Description**: As a user, I should be informed transparently about the system's capabilities to handle all requests during business hours, ensuring that I am treated with dignity, especially when the system is facing high demand.

**Ethical principles used**: Transparency, Dignity"
228,The system shall cater to 10 simultaneous users from 9am to 5pm.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful User Access Management

**Description**: As a system user, I want the system to transparently inform us about peak usage times and access limitations so that all users' access to the system is managed fairly and everyone's dignity is respected. This includes providing clear communication when the system approaches its user capacity during prime hours and offering alternative access solutions or scheduling options to ensure that no user feels neglected or marginalized.

**Ethical principles used**: Transparency, Dignity"
229,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,transparency,dignity,sustainability,"**Title**: Maintain Transparent and Dignified Processing of Nursing Students' Data Over Time

**Description**: As an educational institution, we ensure that the system transparently processes and records 100% of nursing students and their classes accurately for the next 10 years, while respecting the dignity and inherent worth of each student by safeguarding their personal information and providing them with clear communication about data usage and processing.

**Ethical principles used**: Transparency, Dignity"
230,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Nursing Program Management

**Description**: As a nursing program administrator, I want the system to manage the curriculum and class/clinical scheduling transparently and respectfully for a minimum of 5 years to ensure that all stakeholders, including students and faculty, are well-informed and their dignity is upheld throughout the scheduling process.

**Ethical principles used**: Transparency, Dignity"
231,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,transparency,dignity,sustainability,"**Title**: Ethical Integration of AI in Nursing Department at DePaul University

**Description**: As a developer, I want the AI system to operate transparently within the Nursing Department at DePaul University, ensuring all users understand its functionalities and limitations. Furthermore, the system should respect the dignity of staff and students by safeguarding their personal data and being easy to comprehend and interact with, promoting a respectful and dignified work environment.

**Ethical principles used**: Transparency, Dignity"
232,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,transparency,dignity,sustainability,"**Title**: Ensure System Compliance with Specifications

**Description**: As a Program Administrator or Nursing Staff Member, I want the system to operate strictly within the specifications defined by the computers we use, so that we fully understand its capabilities and limitations, and ensure that it respects our professional roles and inherent worth.

**Ethical principles used**: Transparency, Dignity"
233,The system shall operate within the Windows XP Professional operating system.,transparency,dignity,sustainability,"**Title**: Ensure System Compatibility with User Environment 

**Description**: As a user, I want the system to operate seamlessly within the Windows XP Professional operating system to ensure that the functionality is fully transparent to me and that my dignity is maintained by respecting my choice of operating environment.

**Ethical principles used**: Transparency, Dignity"
234,The system shall interface with CampusConnect\92s central server,transparency,dignity,sustainability,"**Title**: Ensure Transparent and Dignified Data Handling in CampusConnect Integration

**Description**: As a user, I want the system to interface with CampusConnect's central server transparently, ensuring I am fully informed about how my data is being accessed and used, while respecting my dignity by protecting my personal information and maintaining full compliance with data privacy laws.

**Ethical principles used**: Transparency, Dignity"
235,The system shall interface with the faculty central server.,transparency,dignity,sustainability,"**Title**: Ensuring Transparent and Dignified Faculty Server Interface

**Description**: As a developer, I want the system to interface with the faculty central server in a way that transparently communicates the data being transferred and ensures the dignity of all faculty members by protecting sensitive information.

**Ethical principles used**: Transparency, Dignity"
236,The system shall interface with the student master server.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Student Data Interface

**Description**: As a student, I want the system to transparently and respectfully interface with the student master server, ensuring that my personal data is securely accessed and used in a way that upholds my dignity.

**Ethical principles used**: Transparency, Dignity"
237,We must be able to interface with any HTML browser.,transparency,dignity,sustainability,"**Title**: Interface Compatibility with HTML Browsers

**Description**: As a user, I want the AI system to be compatible with any HTML browser, ensuring that the information and actions performed by the AI application are transparently communicated and accessible in a way that respects the inherent dignity of all users.

**Ethical principles used**: Transparency, Dignity"
238,Only authorized users shall have access to clinical site information.,transparency,dignity,sustainability,"**Title**: Ensure Authorized Access to Clinical Site Information

**Description**: As an authorized user, I want access to clinical site information to be restricted to only those with proper authorization to respect patient dignity and ensure that transparency regarding who can access sensitive information is maintained.

**Ethical principles used**: Transparency, Dignity"
239,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,transparency,dignity,sustainability,"**Title**: Restrict Access to Clinical Site Details to Authorized Personnel

**Description**: As a Program Administrator or Nursing Staff Member, I should be the only one with access to clinical site details, ensuring that sensitive information is kept confidential and only shared with authorized personnel, in order to maintain transparency and uphold the dignity of all parties involved.

**Ethical principles used**: Transparency, Dignity"
240,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.,transparency,dignity,sustainability,"**Title**: Restricted Access to Student Personal Information

**Description**: Only Dr. Susan Poslusny and Dr. Julie Donalek shall have access to students' personal information, ensuring that the handling and accessing of such sensitive data is clearly governed and limited to these designated individuals. This restriction is communicated openly to maintain transparency and safeguard the dignity of students by protecting their personal information from unauthorized access.

**Ethical principles used**: Transparency, Dignity"
241,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,transparency,dignity,sustainability,"**Title**: Ensure Authorized Access to CampusConnect Interface

**Description**: As an authorized user, I should have exclusive access to the portion of the system that interfaces with CampusConnect, ensuring that my access is clearly documented, communicated, and justified to maintain transparency and respect for my dignity.

**Ethical principles used**: Transparency, Dignity"
242,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,transparency,dignity,sustainability,"**Title**: Ensure Restricted Access to Final Class Scheduling

**Description**: As a responsible system administrator, I want to ensure that only Dr. Susan Poslusny and Karen Sysol have access to the final class section scheduling within the system interfacing with CampusConnect. This will maintain transparency in schedule handling and respect the dignity and privacy of student and faculty data.

**Ethical principles used**: Transparency, Dignity"
243,The system shall use the organization\92s standard virus protection software to help monitor threats to itself.,transparency,dignity,sustainability,"**Title**: Implement Standard Virus Protection Software with Transparent Monitoring

**Description**: As a system user, I want the system to use the organization's standard virus protection software to monitor threats transparently, ensuring that all monitoring activities are clearly communicated to me and respect my dignity by not unduly invading my privacy.

**Ethical principles used**: Transparency, Dignity"
244,A cohort shall be associated to one Program of Study offered by the department.,transparency,dignity,sustainability,"**Title**: Associate Cohort to Program of Study with Transparency and Dignity

**Description**: As an education administrator, I need to ensure that each cohort is transparently associated with a specific Program of Study offered by the department, so that students are informed and can make decisions with a full understanding of their educational path. This ensures that all cohorts are treated with dignity by respecting their right to clear and understandable information about their academic program.

**Ethical principles used**: Transparency, Dignity"
245,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,transparency,dignity,sustainability,"**Title**: Ethical Management of Student Cohorts

**Description**: As a Program Administrator or Nursing Staff Member, I need the ability to transparently and respectfully add a listing of students to a cohort so that students' information is managed with dignity and everyone involved understands the process.

**Ethical principles used**: Transparency, Dignity"
246,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,transparency,dignity,sustainability,"**Title**: Ethical Assignment of Students to Cohorts 

**Description**: As a Program Administrator or Nursing Staff Member, I want to transparently add a student to a cohort in a manner that respects the dignity of each student by ensuring fair and clear communication about the criteria and process used for their assignment.

**Ethical principles used**: Transparency, Dignity"
247,Students added to a cohort shall be eligible for the cohort\92s Program of Study.,transparency,dignity,sustainability,"**Title**: Ensure Eligibility Transparency and Respect for Students Joining Cohorts

**Description**: As a university administration system, it should transparently verify and communicate the eligibility criteria for students joining any cohort's program of study, ensuring their dignity is respected by maintaining clear and consistent standards.

**Ethical principles used**: Transparency, Dignity"
248,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,transparency,dignity,sustainability,"**Title**: Specify Preferred Sequence of Classes for Cohort with Transparency and Dignity

**Description**: As a Program Administrator or Nursing Staff Member, I want to be able to specify the preferred sequence of classes for a given cohort in a transparent manner, ensuring that all stakeholders understand the rationale behind the sequence, while respecting the dignity and diverse needs of all students involved.

**Ethical principles used**: Transparency, Dignity"
249,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,transparency,dignity,sustainability,"**Title**: Transparent Scheduling for Course Offerings

**Description**: As a Program Administrator or Nursing Staff Member, I want to transparently specify the quarter that each class within a sequence for a cohort will be offered, ensuring that all stakeholders are clearly informed and the dignity of students is respected by providing accurate scheduling information.

**Ethical principles used**: Transparency, Dignity"
250,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,transparency,dignity,sustainability,"**Title**: Ensure Transparent and Respectful Course Management 

**Description**: As a program administrator or nursing staff member, I want to add new classes to a sequence of classes transparently and with clear guidelines, so that the process respects all stakeholders' dignity. This includes documenting all additions with justifications, ensuring that the information is accessible to relevant parties, and considering the input and wellbeing of both staff and students.

**Ethical principles used**: Transparency, Dignity"
251,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,transparency,dignity,sustainability,"**Title**: Ensure Transparent and Dignified Management of Clinical Classes

**Description**: As a program administrator or nursing staff member, I want to add clinical classes or sections to a sequence of classes in a transparent manner and with respect for the dignity of all stakeholders, ensuring that information is openly available and accurately represented so everyone can understand and trust the process.

**Ethical principles used**: Transparency, Dignity"
252,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,transparency,dignity,sustainability,"**Title**: Enable Transparent and Respectful Cohort Addition for Administrators and Nursing Staff

**Description**: As a program administrator or nursing staff member, I want to be able to add a new cohort to the system, identified by start month and year, while ensuring the transparency of the process and respecting the dignity of all users. This includes clear documentation, easily understandable instructions for the cohort addition feature, and mechanisms to verify that the inputted data is correct and complete without unnecessary complexity.

**Ethical principles used**: Transparency, Dignity"
253,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,transparency,dignity,sustainability,"**Title**: Ethical Management of Nursing Department Classes

**Description**: As a Program Administrator or Nursing Staff Member, I want to transparently add new classes for the nursing department into the system, ensuring that all additions uphold the dignity of the nursing staff and student participants by clearly outlining the purpose, content, and expectations of each class.

**Ethical principles used**: Transparency, Dignity"
254,A class shall be either a non-clinical class or a clinical class.,transparency,dignity,sustainability,"**Title**: Class Designation with Transparent and Respectful Categorization

**Description**: As a system designer, I want the system to clearly differentiate between non-clinical and clinical classes, using criteria that are transparent and well-documented. This will ensure that all users understand the distinction and feel respected in their interactions with the system.

**Ethical principles used**: Transparency, Dignity"
255,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,transparency,dignity,sustainability,"**Title**: Ensure Transparency and Dignity in Course Specification

**Description**: As a course coordinator, I want the non-clinical class specification process to clearly outline the course name, lecture room requirements, and instructor needs. This will ensure that all stakeholders have a transparent understanding of the course logistics, and that the needs and dignity of instructors are respected by providing the necessary resources and appropriate environment for teaching.

**Ethical principles used**: Transparency, Dignity

"
256,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Clinical Class Specifications

**Description**: As an educational administrator, I want the clinical class specifications to include clear and detailed information about the course name, lecture room requirements, clinical site needs, lecture instructor needs, and clinical lab instructor needs. This will ensure that all stakeholders, including students and instructors, have a transparent understanding of the course setup and that the needs of instructors are fully respected.

**Ethical principles used**: Transparency, Dignity"
257,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,transparency,dignity,sustainability,"**Title**: Enable Creation of New Program of Study by Administrators/Nursing Staff

**Description**: As a program administrator or nursing staff member, I want to be able to create a new program of study in a transparent manner, ensuring that all relevant information about the program is readily available to students and staff. This includes clear descriptions, objectives, and requirements to maintain the dignity of education and respect the inherent worth of our students and staff.

**Ethical principles used**: Transparency, Dignity"
258,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Program of Study Outline

**Description**: As an educational institution, we should ensure that the Program of Study includes a clear and comprehensible program name and a detailed listing of all required classes, both clinical and non-clinical. This information must be presented transparently to respect the dignity of all prospective and current students, enabling them to make informed decisions about their educational journey.

**Ethical principles used**: Transparency, Dignity"
259,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,transparency,dignity,sustainability,"**Title**: Ensure Clear Communication of Program Requirements

**Description**: As a Program Administrator or Nursing Staff Member, I want to specify which classes are required for a Program of Study in a transparent manner so that students clearly understand their academic obligations and feel respected in their educational journey.

**Ethical principles used**: Transparency, Dignity"
260,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.,transparency,dignity,sustainability,"**Title**: Display Cohort Class Requirements Transparently

**Description**: As a Program Administrator or Nursing Staff Member, I want the system to transparently display a report of needed classes for a given quarter for all cohorts across all programs so that I can plan effectively, ensuring every student's educational needs are met while respecting their dignity.

**Ethical principles used**: Transparency, Dignity"
261,The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,transparency,dignity,sustainability,"**Title**: Ethical Reporting of Class Requirements

**Description**: As a responsible system, the report generated for the needed classes shall transparently include all necessary information such as classes to be offered, the number of sections needed, the number of labs required, and the room types needed. The report should ensure that this information is easily accessible and understandable to all stakeholders, ensuring that the system respects the dignity of all participants by providing clear and comprehensive insights into the requirements.

**Ethical principles used**: Transparency, Dignity"
262,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,transparency,dignity,sustainability,"**Title**: Ensure Classes Scheduling Transparency and Dignity

**Description**: As an educational institution, we ensure that the scheduling of classes for a given cohort does not conflict with regards to the time and day they are offered. This not only promulges transparency in our scheduling process but also respects the dignity of our students by allowing them to fully engage in their academic activities without scheduling conflicts.

**Ethical principles used**: Transparency, Dignity"
263,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,transparency,dignity,sustainability,"**Title**: Ethical Addition of New Clinical Sites by Program Administrators and Nursing Staff

**Description**: As a program administrator or nursing staff member, I want to transparently add a new clinical site into the system, ensuring that the process respects the dignity of all individuals involved in the clinical site and provides clear, understandable information about the clinical site to all stakeholders.

**Ethical principles used**: Transparency, Dignity"
264,Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Clinical Site Information

**Description**: As a user, I want the clinical site information to include, but not be limited to, the name of the site, contact person, and contact information, so that I can easily understand and validate the authenticity of the site while ensuring that my interactions respect my inherent dignity.

**Ethical principles used**: Transparency, Dignity"
265,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,transparency,dignity,sustainability,"**Title**: Enable Authorized Clinical Lab Section Additions with Transparency and Dignity

**Description**: As a Program Administrator or Nursing Staff Member, I want to transparently add a new clinical lab section to an existing clinical class in the system, ensuring that the process respects the dignity of all users involved.

**Ethical principles used**: Transparency, Dignity"
266,A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,transparency,dignity,sustainability,"**Title**: Clear and Respectful Listing of Clinical Lab Details

**Description**: As a user, I should be able to see the clinical site name, the class information, the instructor's name, and the day and time of the lab clearly listed in the clinical lab section. This ensures that I understand who will be leading the lab, when and where the lab will take place, and any other pertinent details, respecting my need for clear and accessible information as well as my inherent worth as a participant in the learning process.

**Ethical principles used**: Transparency, Dignity"
267,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,transparency,dignity,sustainability,"**Title**: Ethical Addition of Students to Clinical Lab Sections

**Description**: As a Program Administrator or Nursing Staff Member, I want to add a student who has registered for a clinical class to a clinical lab section in a transparent manner that respects the dignity of the student, ensuring that all actions and decisions are clear and communicated effectively to the student.

**Ethical principles used**: Transparency, Dignity"
268,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,transparency,dignity,sustainability,"**Title**: Ethical Removal Process for Students from Clinical Lab Section

**Description**: As a Program Administrator or Nursing staff member, I want to ensure that the process of removing a student from a clinical lab section is transparent and respects the dignity of the student, by clearly communicating the reasons for removal and providing appropriate support and documentation throughout the process.

**Ethical principles used**: Transparency, Dignity"
269,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,transparency,dignity,sustainability,"
**Title**: Enabling Transparent and Respectful Student Transfers Between Clinical Lab Sections

**Description**: As a Program Administrator or Nursing Staff Member, I want the ability to transparently move a student from one clinical lab section to another corresponding to the same clinical class, ensuring that the process respects the dignity of the student and provides clear communication about the reasons and implications of the transfer.

**Ethical principles used**: Transparency, Dignity"
270,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,transparency,dignity,sustainability,"**Title**: Ensure Transparent and Respectful Cancellation Policy for Clinical Lab Sections

**Description**: As a program administrator or nursing staff member, I want to be able to cancel a clinical lab section only if there are no students registered for that section. This ensures that the cancellation process is transparent, and students are treated with dignity by preventing disruption to their schedules and academic plans.

**Ethical principles used**: Transparency, Dignity"
271,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,transparency,dignity,sustainability,"**Title**: Ethical Addition of New Nursing Student to the System

**Description**: As a Program Administrator/Nursing Staff Member, I want to add a new nursing student to the system in such a way that the student is fully informed about the data being collected and how it will be used, thereby ensuring their dignity is respected and they are comfortably aware of the relevant processes.

**Ethical principles used**: Transparency, Dignity"
272,A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,transparency,dignity,sustainability,"**Title**: Ethical Management of Part-Time Student Progress

**Description**: 
As a staff member, I want to manage the progress of a part-time student, including modifying their sequence and timeline of classes, in a transparent manner that respects the student's dignity. This involves ensuring that all changes and decisions are clearly communicated to the student, along with the rationale behind them, and that their consent is obtained before any adjustments are made.

**Ethical principles used**: 
1. Transparency
2. Dignity"
273,The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,transparency,dignity,sustainability,"**Title**: Display Printable Summary for Individual Cohorts

**Description**: As an educational administrator, I want the system to display a printable summary for individual cohorts, which will include the students enlisted, the program of study, sequence of classes, cohort progress through the program, and timeline of completion, so that I can make informed decisions and communicate progress transparently without compromising the dignity of the students.

**Ethical principles used**: Transparency, Dignity"
274,The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,transparency,dignity,sustainability,"**Title**: Printable Summary of Clinical Site Lab Information

**Description**: As a user, I want the system to provide a printable summary for individual clinical sites, which includes detailed information on labs being held at that site for the given quarter. The summary should include clinical site general information, details about labs held at that location, and the dates and times of all labs. This feature should ensure that the information is presented clearly and transparently, respecting the dignity of all parties involved by maintaining accuracy and providing necessary details without ambiguity.

**Ethical principles used**: Transparency, Dignity"
275,The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,transparency,dignity,sustainability,"**Title**: Display Printable Summary with Respect and Clarity

**Description**: As a user, I want the system to provide a printable summary for individual clinical labs that includes class name, class number, lab section, listing of students enrolled, instructor, days, time, and location, ensuring that the information is presented transparently and respects the dignity of all individuals involved.

**Ethical principles used**: Transparency, Dignity"
276,The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,transparency,dignity,sustainability,"**Title**: System Displays Printable Summary for Individual Nursing Students

**Description**: As part of ensuring transparency and respecting the dignity of students, the system shall enable nursing students to access and print a summary of their personal and academic records. This summary will include, but not be limited to, student name, student ID, admission date, classes taken, credits earned, GPA, and the cohort in which the student is enrolled. This functionality aims to allow students to clearly understand and verify their educational progress and data.

**Ethical principles used**: Transparency, Dignity"
277,The system shall be able to display a printable summary of the system log.,transparency,dignity,sustainability,"**Title**: Provide Printable Summary of System Log

**Description**: As a user, I want the system to provide a clear, printable summary of the system log so that I can ensure transparency in the system’s operations and respect for human dignity by being able to easily review and understand the activities performed by the system.

**Ethical principles used**: Transparency, Dignity"
278,The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,transparency,dignity,sustainability,"**Title**: Ethical Management of Contact Information

**Description**: As a developer, I need to ensure that the system transparently displays contact information (e-mail and phone number) of all relevant individuals including staff members, students, lecture instructors, clinical lab instructors, and clinical site administrators, while respecting their dignity by obtaining explicit consent and providing clear information about how their data will be used and protected.

**Ethical principles used**: Transparency, Dignity"
279,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,transparency,dignity,sustainability,"**Title**: Ethical Communication Using Stored Email Addresses 

**Description**: As a system user, I want the system to use stored email addresses as a primary means of communicating information to affected parties in a transparent and respectful manner, ensuring that all communications uphold the dignity of the recipients by being clear and respectful.

**Ethical principles used**: Transparency, Dignity"
280,The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,transparency,dignity,sustainability,"**Title**: Transparent and Respectful Communication of Class Notifications

**Description**: As an educational institution, we want to notify students of upcoming classes and their schedules in a manner that is transparent and respectful of their dignity. This means providing clear, understandable, and timely information about class timelines and schedules to ensure that students are well-informed and respected as valued members of the academic community.

**Ethical principles used**: Transparency, Dignity"
281,The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,transparency,dignity,sustainability,"**Title**: Notify Affected Parties of Clinical Section Changes

**Description**: As a user of the system, I want to be promptly notified when changes occur that affect clinical sections, such as capacity changes or cancellations. This will ensure that I am fully informed and can make necessary arrangements in a timely manner, respecting my dignity and right to transparency.

**Ethical principles used**: Transparency, Dignity"
282,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,transparency,dignity,sustainability,"**Title**: User Notification on Class Changes

**Description**: As an educational institution, I want the system to notify affected parties when changes occur affecting classes, including but not limited to class cancellations, class section detail changes, and changes to class offerings for a given quarter, so that students and faculty are well-informed and can adjust their schedules accordingly.

**Ethical principles used**: Transparency, Dignity"
283,The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).,transparency,dignity,sustainability,"**Title**: Transparency in Cohort Notifications 

**Description**: As a user, I want the system to notify all affected parties promptly whenever there are changes that impact cohorts, including modifications to the program of study sequence and any weekly schedule changes (e.g., lab cancellation due to instructor illness), ensuring that all stakeholders are well-informed and can adjust accordingly.

**Ethical principles used**: Transparency, Dignity"
